Year;CompetitionCode;CompetitionDate;CompetitionName;CompetitionType;Homologation;Site;IsOpenFrenchChampionship;OpenAthletes;DepthBand;MaintainedFromPreviousYear;EntrantsOrReturns;ReturnsAfterGap;NewInObservedWindow;RecentU21Athletes;OneCompetitionAthletes;OpenNextYear;OpenNextYearRatePercent;EntrantsOpenNextYear;EntrantNextYearRatePercent;AthleteKeys
2024;24FRA005;29-30 Jun 2024;LE PLAN D'EAU 3D JUIN;INTER;L;Club Omnisport...;0;6;5_9;5;1;0;1;1;0;5;83.3;1;100.0;FRA|1989|JAMIN ROLAND | FRA|1991|MARTINI MARIE | FRA|1994|BISCHOFBERGER OSCAR | FRA|1994|PHILY LAURA | FRA|1996|BISCHOFBERGER ILLANA | FRA|2002|SONIER PERRINE
2024;24FRA007;6-7 Jul 2024;Ski Caraibes SLALOM CUP 2024;INTER;L;Ski Caraibes A...;0;1;1_2;1;0;0;0;0;0;0;0.0;0;0.0;FRA|1998|ANGUENOT LEO
2024;24FRA008;27-28 Jul 2024;Grand Prix de Marcillac - Championnat de Ligue NAQUA;INTER;L;Ski Club Nauti...;0;6;5_9;4;2;0;2;2;1;4;66.7;1;50.0;FRA|1989|JAMIN ROLAND | FRA|1999|MIERMONT LEA | FRA|2000|BORDIER LINDSAY | FRA|2000|ROUSSET BLANDINE | FRA|2002|ANGUENOT INES | FRA|2002|CONSTANS BASTIEN
2024;24FRA009;15-16 Jun 2024;BORDEAUX SLALOM CUP;INTER;L;Ski Nautique C...;0;6;5_9;5;1;0;1;1;0;5;83.3;1;100.0;FRA|1989|JAMIN ROLAND | FRA|1995|DAUZONNE SACHA | FRA|1996|BISCHOFBERGER ILLANA | FRA|1999|MIERMONT LEA | FRA|2001|ROUSSELOT NICOLAS | FRA|2002|SONIER PERRINE
2024;24FRA010;12-13 Oct 2024;BAURECH CLASSIC;INTER;L;Ski Nautique C...;0;3;3_4;3;0;0;0;0;0;3;100.0;0;0.0;FRA|1991|MARTINI MARIE | FRA|1994|BISCHOFBERGER OSCAR | FRA|2001|ROUSSELOT NICOLAS
2024;24FRA012;7-8 Sep 2024;Championnat Ligue Grand Est et Coupe Richard Odin;INTER;L;Club Nautique ...;0;2;1_2;0;2;0;2;0;2;1;50.0;1;50.0;FRA|1991|BISCHOFBERGER MARION | FRA|2000|GERARD LORENZO
2024;24FRA013;27-28 Jul 2024;Championnats de ligue BFC;NAT;L;Association Sp...;0;5;5_9;2;3;0;3;0;3;3;60.0;1;33.3;FRA|1995|GROISEAU AUDE | FRA|1995|PANTIGNY LILYAN | FRA|1998|BENZIDANE PATRICK | FRA|2002|CUSEY MARTIN | FRA|2002|POISSONNIER LOIC
2024;24FRA016;2-4 Aug 2024;Coupe de Meuzac;INTER;L;BEACH SKI ACAD...;0;8;5_9;5;3;0;3;4;0;6;75.0;2;66.7;FRA|1989|JAMIN ROLAND | FRA|1991|MARTINI MARIE | FRA|1994|BISCHOFBERGER OSCAR | FRA|1998|ANGUENOT LEO | FRA|2002|AMBLARD ARTHUR | FRA|2002|ANGUENOT INES | FRA|2002|CONSTANS BASTIEN | FRA|2002|SONIER PERRINE
2024;24FRA017;31 Aug - 1 Sep 2024;Coupe du pays de Montbéliard;INTER;L;Ski nautique M...;0;2;1_2;1;1;0;1;0;0;1;50.0;0;0.0;FRA|1995|PANTIGNY LILYAN | FRA|2002|CUSEY MARTIN
2024;24FRA018;6-7 Jul 2024;LACANAU SKI CLASSIC 3D;INTER;L;Lacanau Ski Cl...;0;10;10_PLUS;6;4;0;4;2;1;9;90.0;3;75.0;FRA|1989|JAMIN ROLAND | FRA|1991|JACQUIER ROMAIN | FRA|1991|MARTINI MARIE | FRA|1992|METIVIER EUDES | FRA|1994|BISCHOFBERGER OSCAR | FRA|1996|BISCHOFBERGER ILLANA | FRA|2000|NEDEAU TANGUY | FRA|2001|ROUSSELOT NICOLAS | FRA|2002|ANGUENOT INES | FRA|2002|SONIER PERRINE
2024;24FRA019;2 Jun 2024;PITROT 1 DAY;INTER;L;Lacanau Ski Cl...;0;5;5_9;2;3;0;3;2;0;3;60.0;1;33.3;FRA|1989|JAMIN ROLAND | FRA|1992|METIVIER EUDES | FRA|1996|BISCHOFBERGER ILLANA | FRA|2002|AMBLARD ARTHUR | FRA|2002|SONIER PERRINE
2024;24FRA021;15-16 Jun 2024;Tours 3D event;INTER;L;Touraine Ski ...;0;2;1_2;2;0;0;0;0;0;2;100.0;0;0.0;FRA|1991|MARTINI MARIE | FRA|1994|BISCHOFBERGER OSCAR
2024;24FRA023;6-7 Jul 2024;Vinney's Cup 24;INTER;L;Ski Nautique C...;0;1;1_2;1;0;0;0;0;0;1;100.0;0;0.0;FRA|1999|MIERMONT LEA
2024;24FRA024;17-18 Aug 2024;Austin's Cup 24;INTER;L;Ski Nautique C...;0;3;3_4;2;1;0;1;0;0;2;66.7;0;0.0;FRA|1999|MIERMONT LEA | FRA|2000|BORDIER LINDSAY | FRA|2000|D ANGLEJAN THOMAS
2024;24FRA027;16-17 Jul 2024;Championnat de France U21 + OPEN;NatCH;R;Ski Nautique C...;1;16;10_PLUS;12;4;0;4;2;4;11;68.8;3;75.0;FRA|1973|LE FORESTIER NICOLAS | FRA|1987|WELTER CLAIRE-LISE | FRA|1989|BALLON PIERRE | FRA|1991|COSTARD MANON | FRA|1991|JACQUIER ROMAIN | FRA|1991|MARTINI MARIE | FRA|1992|DESCUNS SACHA | FRA|1994|BISCHOFBERGER OSCAR | FRA|1994|PHILY LAURA | FRA|1995|DAUZONNE SACHA | FRA|1996|BISCHOFBERGER ILLANA | FRA|1999|MIERMONT LEA | FRA|2000|DUPLAN FRIBOURG LOUIS | FRA|2001|ROUSSELOT NICOLAS | FRA|2002|ANGUENOT INES | FRA|2002|SONIER PERRINE
2024;24FRA028;1-2 Jun 2024;Ezylake's cup;INTER;L;Ezylake;0;3;3_4;3;0;0;0;0;0;3;100.0;0;0.0;FRA|1986|PIEDNOEL ANTOINE | FRA|1991|MARTINI MARIE | FRA|1994|BISCHOFBERGER OSCAR
2024;24FRA029;21-22 Sep 2024;Biggie's international;INTER;L;Ezylake;0;2;1_2;2;0;0;0;0;0;2;100.0;0;0.0;FRA|1986|PIEDNOEL ANTOINE | FRA|2001|ROUSSELOT NICOLAS
2024;24FRA030;27-28 Jul 2024;Magic Ski Time;INTER;L;Nemours Grez/l...;0;5;5_9;4;1;0;1;0;0;5;100.0;1;100.0;FRA|1990|DELVAQUE JEAN-GABRIEL | FRA|1991|MARTINI MARIE | FRA|1994|BISCHOFBERGER OSCAR | FRA|2000|D ANGLEJAN THOMAS | FRA|2001|ROUSSELOT NICOLAS
2024;24FRA031;31 Aug - 1 Sep 2024;Magic Trophy;INTER;L;Nemours Grez/l...;0;7;5_9;5;2;0;2;0;0;7;100.0;2;100.0;FRA|1986|PIEDNOEL ANTOINE | FRA|1990|DELVAQUE JEAN-GABRIEL | FRA|1991|MARTINI MARIE | FRA|1994|BISCHOFBERGER OSCAR | FRA|1995|DELVAQUE CONSTANTIN | FRA|2000|D ANGLEJAN THOMAS | FRA|2001|ROUSSELOT NICOLAS
2024;24FRA036;8-9 Jun 2024;Magic Challenge;INTER;L;Nemours Grez/l...;0;5;5_9;4;1;0;1;0;0;4;80.0;1;100.0;FRA|1990|DELVAQUE JEAN-GABRIEL | FRA|1991|MARTINI MARIE | FRA|1994|BISCHOFBERGER OSCAR | FRA|1995|DAUZONNE SACHA | FRA|2000|D ANGLEJAN THOMAS
2024;24FRA039;5-6 Oct 2024;LE PLAN D'EAU 3D;INTER;L;Club Omnisport...;0;4;3_4;3;1;0;1;2;0;4;100.0;1;100.0;FRA|1991|MARTINI MARIE | FRA|1994|BISCHOFBERGER OSCAR | FRA|2002|CONSTANS BASTIEN | FRA|2002|SONIER PERRINE
2025;25FRA001;21-22 Jun 2025;THE FUNGLISS PRO AM;INTER;R;FUNGLISS DOMMA...;0;4;3_4;3;1;1;0;0;1;;;;;FRA|1987|WELTER CLAIRE-LISE | FRA|1990|DAILLAND THIBAUT | FRA|1992|DESCUNS SACHA | FRA|2001|ROUSSELOT NICOLAS
2025;25FRA002;20-21 Sep 2025;Viry Lake's challenge #7;INTER;L;Club Nautique ...;0;3;3_4;3;0;0;0;0;1;;;;;FRA|1992|FRAISSE ROMAIN | FRA|2000|D ANGLEJAN THOMAS | FRA|2003|GERMON THEO
2025;25FRA005;5-6 Jul 2025;MALIBU OPEN;INTER;L;Lacanau Ski Cl...;0;8;5_9;6;2;0;2;2;1;;;;;FRA|1989|JAMIN ROLAND | FRA|1991|JACQUIER ROMAIN | FRA|1994|BISCHOFBERGER OSCAR | FRA|2000|NEDEAU TANGUY | FRA|2001|ROUSSELOT NICOLAS | FRA|2002|SONIER PERRINE | FRA|2003|PAGET MARIE | FRA|2004|MORIN ANTOINE
2025;25FRA006;13-14 Sep 2025;LACANAU SKI CLASSIC;INTER;L;Lacanau Ski Cl...;0;7;5_9;4;3;1;2;1;1;;;;;FRA|1989|JAMIN ROLAND | FRA|1989|PASQUALINI AYMERIC | FRA|1991|JACQUIER ROMAIN | FRA|1991|MARTINI MARIE | FRA|1994|BISCHOFBERGER OSCAR | FRA|2000|LOMBARD ROMANE | FRA|2003|PAGET MARIE
2025;25FRA008;31 May - 1 Jun 2025;Magic Cup;INTER;L;Nemours Grez/l...;0;8;5_9;7;1;0;1;0;0;;;;;FRA|1986|PIEDNOEL ANTOINE | FRA|1990|DELVAQUE JEAN-GABRIEL | FRA|1991|MARTINI MARIE | FRA|1992|CABARET ARNAUD | FRA|1994|BISCHOFBERGER OSCAR | FRA|1995|DELVAQUE CONSTANTIN | FRA|1996|BISCHOFBERGER ILLANA | FRA|2001|ROUSSELOT NICOLAS
2025;25FRA009;27-28 Sep 2025;Magic Ski Time;INTER;L;Nemours Grez/l...;0;4;3_4;3;1;1;0;0;0;;;;;FRA|1986|PIEDNOEL ANTOINE | FRA|1990|DELVAQUE JEAN-GABRIEL | FRA|1991|DESFOND GREGOIRE | FRA|1995|DELVAQUE CONSTANTIN
2025;25FRA010;26-27 Jul 2025;Magic Challenge;INTER;L;Nemours Grez/l...;0;5;5_9;5;0;0;0;0;0;;;;;FRA|1986|PIEDNOEL ANTOINE | FRA|1990|DELVAQUE JEAN-GABRIEL | FRA|1995|DELVAQUE CONSTANTIN | FRA|1999|MIERMONT LEA | FRA|2001|ROUSSELOT NICOLAS
2025;25FRA011;28-29 Jun 2025;Le Trophée d'Arc;INTER;L;Club Arc Dijon...;0;1;1_2;1;0;0;0;0;0;;;;;FRA|1987|WELTER CLAIRE-LISE
2025;25FRA013;28-29 Jun 2025;LE PLAN D'EAU 3D 1/2 30ème anniversaire;INTER;L;Club Omnisport...;0;4;3_4;3;1;0;1;0;0;;;;;FRA|1991|MARTINI MARIE | FRA|1992|FRAISSE ROMAIN | FRA|1994|BISCHOFBERGER OSCAR | FRA|2002|LHOMMELET SACHA
2025;25FRA014;4-5 Oct 2025;LE PLAN D'EAU 3D 2/2 30ème anniversaire;INTER;L;Club Omnisport...;0;3;3_4;2;1;0;1;0;0;;;;;FRA|1991|MARTINI MARIE | FRA|1992|CABARET ARNAUD | FRA|1994|BISCHOFBERGER OSCAR
2025;25FRA019;2-3 Aug 2025;Championnats du mont de Laroche;INTER;L;Association Sp...;0;6;5_9;3;3;0;3;0;5;;;;;FRA|1995|GROISEAU AUDE | FRA|1995|PANTIGNY LILYAN | FRA|1998|AILLOT MATHILDE | FRA|1998|BENZIDANE PATRICK | FRA|1998|COUCHET MANON | FRA|2003|COUCHET CLEMENT
2025;25FRA021;7-8 Jun 2025;Ezylake's cup;INTER;L;Ezylake;0;3;3_4;2;1;1;0;0;0;;;;;FRA|1986|PIEDNOEL ANTOINE | FRA|1989|PASQUALINI AYMERIC | FRA|2000|D ANGLEJAN THOMAS
2025;25FRA022;4 Jul 2025;Aquacup (2+1);INTER;L;Aqu'Aventure;0;3;3_4;1;2;1;1;0;0;;;;;FRA|1986|PIEDNOEL ANTOINE | FRA|1991|DESFOND GREGOIRE | FRA|2003|DRAUX HIPPOLYTE
2025;25FRA025;13-14 Sep 2025;Legends of Ezylake;INTER;L;Ezylake;0;3;3_4;2;1;0;1;0;1;;;;;FRA|1986|PIEDNOEL ANTOINE | FRA|1996|DE VAUXCLAIRS GUILLAUME | FRA|2000|D ANGLEJAN THOMAS
2025;25FRA026;30-31 Aug 2025;Coupe du pays de Montbeliard- Championnat Ligue BFC;INTER;L;Ski nautique M...;0;2;1_2;1;1;0;1;0;1;;;;;FRA|1995|GROISEAU AUDE | FRA|1999|THIELEN ANTHONY
2025;25FRA027;5-6 Jul 2025;Vinney's Cup 25;INTER;L;Ski Nautique C...;0;3;3_4;1;2;0;2;0;0;;;;;FRA|1999|MIERMONT LEA | FRA|2002|LHOMMELET SACHA | FRA|2002|WITCZAK THOMAS
2025;25FRA028;23-24 Aug 2025;Austin's Cup 25;INTER;L;Ski Nautique C...;0;4;3_4;3;1;0;1;0;1;;;;;FRA|1999|MIERMONT LEA | FRA|2000|D ANGLEJAN THOMAS | FRA|2002|CONSTANS BASTIEN | FRA|2002|MIERMONT KIARA
2025;25FRA029;20-21 Sep 2025;Jano's Cup 25;INTER;L;Ski Nautique C...;0;3;3_4;1;2;0;2;0;0;;;;;FRA|1999|MIERMONT LEA | FRA|2002|MIERMONT KIARA | FRA|2002|WITCZAK THOMAS
2025;25FRA030;14-15 Jun 2025;BAURECH Slalom CUP / 4 RDS;INTER;L;Windsor Ski Cl...;0;7;5_9;4;3;0;3;0;0;;;;;FRA|1989|JAMIN ROLAND | FRA|1991|MARTINI MARIE | FRA|1994|BISCHOFBERGER OSCAR | FRA|2002|LHOMMELET SACHA | FRA|2002|SONIER PERRINE | FRA|2002|WITCZAK THOMAS | FRA|2003|DRAUX HIPPOLYTE
2025;25FRA031;2-3 Aug 2025;BAURECH 3 EVENTS- RL 3 RDS/ Events;INTER;L;Windsor Ski Cl...;0;7;5_9;4;3;1;2;0;0;;;;;FRA|1989|JAMIN ROLAND | FRA|1989|PASQUALINI AYMERIC | FRA|1991|MARTINI MARIE | FRA|1994|BISCHOFBERGER OSCAR | FRA|2000|NEDEAU TANGUY | FRA|2002|LHOMMELET SACHA | FRA|2002|WITCZAK THOMAS
2025;25FRA032;11-12 Oct 2025;BAURECH SLALOM SERIES 4RD;INTER;L;Windsor Ski Cl...;0;5;5_9;4;1;0;1;0;0;;;;;FRA|1991|MARTINI MARIE | FRA|1994|BISCHOFBERGER OSCAR | FRA|1996|BISCHOFBERGER ILLANA | FRA|1999|MIERMONT LEA | FRA|2002|WITCZAK THOMAS
2025;25FRA037;13-14 Sep 2025;Championnat Ligue Grand Est et Coupe Richard Odin;INTER;L;Club Nautique ...;0;3;3_4;2;1;0;1;0;2;;;;;FRA|1991|BACQUIAS DAVID | FRA|1991|BISCHOFBERGER MARION | FRA|1996|BISCHOFBERGER ILLANA
2025;25FRA206;12-13 Jul 2025;Championnat de France U21 + OPEN;NatCH;R;Ski nautique M...;1;14;10_PLUS;9;5;0;5;1;6;;;;;FRA|1964|DUPLAN GUILLAUME | FRA|1965|LANCIEN ESCOLANO FLORENCE | FRA|1986|LAFORET THOMAS | FRA|1987|WELTER CLAIRE-LISE | FRA|1991|COSTARD MANON | FRA|1991|MARTINI MARIE | FRA|1992|DESCUNS SACHA | FRA|1994|BISCHOFBERGER OSCAR | FRA|1999|MIERMONT LEA | FRA|2001|ROUSSELOT NICOLAS | FRA|2002|ANGUENOT INES | FRA|2002|SONIER PERRINE | FRA|2003|DUPLAN FRIBOURG POL | FRA|2007|DUVERGER MARIE-LOU
2025;25FRA208;3-4 Oct 2025;Championnat de Ligue AURA 2025;INTER;L;Ski Caraibes A...;0;2;1_2;2;0;0;0;0;0;;;;;FRA|1992|DESCUNS SACHA | FRA|2002|ANGUENOT INES
2025;25FRA217;6-7 Sep 2025;New !!! Championnats de Ligue NAQU Mémorial Michel Naudinat;INTER;L;Lacanau Ski Cl...;0;8;5_9;3;5;2;3;1;3;;;;;FRA|1989|JAMIN ROLAND | FRA|1989|PASQUALINI AYMERIC | FRA|1991|JACQUIER ROMAIN | FRA|1996|BISCHOFBERGER ILLANA | FRA|1998|DION MAXIME | FRA|1999|CALEN JULIAN | FRA|2003|PAGET MARIE | FRA|2005|ESTANOL DAVID
