Year;CompetitionCode;CompetitionName;ChampionshipBlock;TitleEligible;PopulationGroup;Category;CategoryOrder;Sex;Age;Division;Event;AthleteKey;Name;Country;IsFrench;CategoryRaw
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;RELEVES;U14;14;M;14;;FIGURES;FRA|2009|POITOUX CHRISTMANN CHARLES;POITOUX CHRISTMANN Charles;FRA;1;-14 M (14)
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;RELEVES;U14;14;M;14;;SAUT;FRA|2009|POITOUX CHRISTMANN CHARLES;POITOUX CHRISTMANN Charles;FRA;1;-14 M (14)
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;RELEVES;U14;14;M;14;;COMBINE;FRA|2009|POITOUX CHRISTMANN CHARLES;POITOUX CHRISTMANN Charles;FRA;1;-14 M (14)
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;RELEVES;U14;14;M;13;;SLALOM;FRA|2010|SAUNIER THIMOTE;SAUNIER Thimote;FRA;1;-14 M (13)
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;RELEVES;U14;14;M;13;;FIGURES;FRA|2010|SAUNIER THIMOTE;SAUNIER Thimote;FRA;1;-14 M (13)
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;JUNIOR;U17;17;F;17;;SLALOM;ESP|2006|SUAREZ MENENDEZ MARTA;SUAREZ MENENDEZ Marta;ESP;0;-17 F (17)
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;JUNIOR;U17;17;F;17;;FIGURES;ESP|2006|SUAREZ MENENDEZ MARTA;SUAREZ MENENDEZ Marta;ESP;0;-17 F (17)
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;JUNIOR;U17;17;M;15;;SLALOM;SUI|2008|VERHAEGHE-PELLICER JOSHUA;VERHAEGHE-PELLICER Joshua;SUI;0;-17 M (15)
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;JUNIOR;U17;17;M;15;;FIGURES;SUI|2008|VERHAEGHE-PELLICER JOSHUA;VERHAEGHE-PELLICER Joshua;SUI;0;-17 M (15)
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;JUNIOR;U17;17;M;15;;SAUT;SUI|2008|VERHAEGHE-PELLICER JOSHUA;VERHAEGHE-PELLICER Joshua;SUI;0;-17 M (15)
2023;23FRA017;Championnat de France RELEVE 2023;RELEVES;1;JUNIOR;U17;17;M;15;;COMBINE;SUI|2008|VERHAEGHE-PELLICER JOSHUA;VERHAEGHE-PELLICER Joshua;SUI;0;-17 M (15)
2023;23FRA018;Championnat de France 2023 - U21 + OPEN;U21_OPEN;1;U21;U21;21;M;21;;SLALOM;FRA|2002|AMBLARD ARTHUR;AMBLARD Arthur;FRA;1;-21 M (21)
2023;23FRA018;Championnat de France 2023 - U21 + OPEN;U21_OPEN;1;U21;U21;21;M;21;;SAUT;FRA|2002|AMBLARD ARTHUR;AMBLARD Arthur;FRA;1;-21 M (21)
2023;23FRA018;Championnat de France 2023 - U21 + OPEN;U21_OPEN;1;U21;U21;21;F;21;;SLALOM;FRA|2002|ANGUENOT INES;ANGUENOT Inès;FRA;1;-21 F (21)
2023;23FRA018;Championnat de France 2023 - U21 + OPEN;U21_OPEN;1;U21;U21;21;F;21;;FIGURES;FRA|2002|ANGUENOT INES;ANGUENOT Inès;FRA;1;-21 F (21)
2023;23FRA018;Championnat de France 2023 - U21 + OPEN;U21_OPEN;1;U21;U21;21;F;21;;SAUT;FRA|2002|ANGUENOT INES;ANGUENOT Inès;FRA;1;-21 F (21)
2023;23FRA018;Championnat de France 2023 - U21 + OPEN;U21_OPEN;1;U21;U21;21;F;21;;COMBINE;FRA|2002|ANGUENOT INES;ANGUENOT Inès;FRA;1;-21 F (21)
2023;23FRA018;Championnat de France 2023 - U21 + OPEN;U21_OPEN;1;OPEN;OPEN;30;M;34;;FIGURES;FRA|1989|BALLON PIERRE;BALLON Pierre;FRA;1;Open M (34)
2023;23FRA018;Championnat de France 2023 - U21 + OPEN;U21_OPEN;1;OPEN;OPEN;30;M;40;;SLALOM;FRA|1983|BARONI ALEXIS;BARONI Alexis;FRA;1;Open M (40)
2023;23FRA018;Championnat de France 2023 - U21 + OPEN;U21_OPEN;1;OPEN;OPEN;30;F;23;;SLALOM;MAR|2000|BELMRAH GHALIA;BELMRAH Ghalia;MAR;0;Open F (23)
2023;23FRA018;Championnat de France 2023 - U21 + OPEN;U21_OPEN;1;U21;U21;21;M;17;;SLALOM;CAN|2006|BIGOURDAN TY;BIGOURDAN Ty;CAN;0;-21 M (17)
2023;23FRA018;Championnat de France 2023 - U21 + OPEN;U21_OPEN;1;OPEN;OPEN;30;F;27;;SLALOM;FRA|1996|BISCHOFBERGER ILLANA;BISCHOFBERGER Illana;FRA;1;Open F (27)
2023;23FRA018;Championnat de France 2023 - U21 + OPEN;U21_OPEN;1;OPEN;OPEN;30;M;29;;SLALOM;FRA|1994|BISCHOFBERGER OSCAR;BISCHOFBERGER Oscar;FRA;1;Open M (29)
2023;23FRA018;Championnat de France 2023 - U21 + OPEN;U21_OPEN;1;OPEN;OPEN;30;M;29;;FIGURES;FRA|1994|BISCHOFBERGER OSCAR;BISCHOFBERGER Oscar;FRA;1;Open M (29)
2023;23FRA018;Championnat de France 2023 - U21 + OPEN;U21_OPEN;1;OPEN;OPEN;30;M;29;;SAUT;FRA|1994|BISCHOFBERGER OSCAR;BISCHOFBERGER Oscar;FRA;1;Open M (29)
2023;23FRA018;Championnat de France 2023 - U21 + OPEN;U21_OPEN;1;OPEN;OPEN;30;M;29;;COMBINE;FRA|1994|BISCHOFBERGER OSCAR;BISCHOFBERGER Oscar;FRA;1;Open M (29)
2023;23FRA018;Championnat de France 2023 - U21 + OPEN;U21_OPEN;1;OPEN;OPEN;30;F;32;;SLALOM;FRA|1991|COSTARD MANON;COSTARD Manon;FRA;1;Open F (32)
2023;23FRA018;Championnat de France 2023 - U21 + OPEN;U21_OPEN;1;OPEN;OPEN;30;F;32;;SLALOM;PER|1991|CUGLIEVAN WIESE MARIA DELFINA;CUGLIEVAN WIESE María Delfina;PER;0;Open F (32)
2023;23FRA018;Championnat de France 2023 - U21 + OPEN;U21_OPEN;1;OPEN;OPEN;30;F;32;;FIGURES;PER|1991|CUGLIEVAN WIESE MARIA DELFINA;CUGLIEVAN WIESE María Delfina;PER;0;Open F (32)
2023;23FRA018;Championnat de France 2023 - U21 + OPEN;U21_OPEN;1;OPEN;OPEN;30;F;32;;SAUT;PER|1991|CUGLIEVAN WIESE MARIA DELFINA;CUGLIEVAN WIESE María Delfina;PER;0;Open F (32)
2023;23FRA018;Championnat de France 2023 - U21 + OPEN;U21_OPEN;1;OPEN;OPEN;30;F;32;;COMBINE;PER|1991|CUGLIEVAN WIESE MARIA DELFINA;CUGLIEVAN WIESE María Delfina;PER;0;Open F (32)
2023;23FRA018;Championnat de France 2023 - U21 + OPEN;U21_OPEN;1;OPEN;OPEN;30;M;27;;SLALOM;FRA|1996|DAILLAND TANGUY;DAILLAND Tanguy;FRA;1;Open M (27)
