Year;CompetitionCode;CompetitionName;ChampionshipBlock;PopulationGroup;Category;CategoryOrder;Sex;Event;ApprovedAll;ApprovedFrench;ApprovedForeign;FrenchDepthClass;FrenchFieldOneToThree;FrenchPodiumPlaces;FrenchPodiumWeightPercent;RawCategories;DivisionLabels
2024;24FRA027;Championnat de France U21 + OPEN;U21_OPEN;U21;U21;21;M;SAUT;2;2;0;2;1;2;100.0;-21 M (20);
2024;24FRA027;Championnat de France U21 + OPEN;U21_OPEN;U21;U21;21;M;SLALOM;2;2;0;2;1;2;100.0;-21 M (19) | -21 M (20);
2024;24FRA027;Championnat de France U21 + OPEN;U21_OPEN;OPEN;OPEN;30;F;COMBINE;3;3;0;3;1;3;100.0;Open F (22) | Open F (33);
2024;24FRA027;Championnat de France U21 + OPEN;U21_OPEN;OPEN;OPEN;30;F;FIGURES;5;4;1;4-5;0;3;75.0;Open F (22) | Open F (23) | Open F (30) | Open F (33);
2024;24FRA027;Championnat de France U21 + OPEN;U21_OPEN;OPEN;OPEN;30;F;SAUT;3;3;0;3;1;3;100.0;Open F (22) | Open F (33);
2024;24FRA027;Championnat de France U21 + OPEN;U21_OPEN;OPEN;OPEN;30;F;SLALOM;8;7;1;6-9;0;3;42.9;Open F (22) | Open F (23) | Open F (25) | Open F (28) | Open F (33) | Open F (37);
2024;24FRA027;Championnat de France U21 + OPEN;U21_OPEN;OPEN;OPEN;30;M;COMBINE;2;2;0;2;1;2;100.0;Open M (24) | Open M (30);
2024;24FRA027;Championnat de France U21 + OPEN;U21_OPEN;OPEN;OPEN;30;M;FIGURES;4;4;0;4-5;0;3;75.0;Open M (24) | Open M (30) | Open M (35) | Open M (51);
2024;24FRA027;Championnat de France U21 + OPEN;U21_OPEN;OPEN;OPEN;30;M;SAUT;3;3;0;3;1;3;100.0;Open M (24) | Open M (30) | Open M (33);
2024;24FRA027;Championnat de France U21 + OPEN;U21_OPEN;OPEN;OPEN;30;M;SLALOM;6;5;1;4-5;0;3;60.0;Open M (20) | Open M (23) | Open M (24) | Open M (29) | Open M (30) | Open M (32);
2025;25FRA016;Championnat de France RELEVES 2025;RELEVES;RELEVES;U10;10;F;FIGURES;1;1;0;1;1;1;100.0;-10 F (10);
2025;25FRA016;Championnat de France RELEVES 2025;RELEVES;RELEVES;U10;10;F;SLALOM;1;1;0;1;1;1;100.0;-10 F (10);
2025;25FRA016;Championnat de France RELEVES 2025;RELEVES;RELEVES;U10;10;M;SLALOM;1;1;0;1;1;1;100.0;-10 M (10);
2025;25FRA016;Championnat de France RELEVES 2025;RELEVES;RELEVES;U12;12;F;COMBINE;1;1;0;1;1;1;100.0;-12 F (12);
2025;25FRA016;Championnat de France RELEVES 2025;RELEVES;RELEVES;U12;12;F;FIGURES;2;2;0;2;1;2;100.0;-12 F (11) | -12 F (12);
2025;25FRA016;Championnat de France RELEVES 2025;RELEVES;RELEVES;U12;12;F;SAUT;1;1;0;1;1;1;100.0;-12 F (12);
2025;25FRA016;Championnat de France RELEVES 2025;RELEVES;RELEVES;U12;12;F;SLALOM;3;3;0;3;1;3;100.0;-12 F (11) | -12 F (12);
2025;25FRA016;Championnat de France RELEVES 2025;RELEVES;RELEVES;U12;12;M;COMBINE;3;3;0;3;1;3;100.0;-12 M (11) | -12 M (12);
2025;25FRA016;Championnat de France RELEVES 2025;RELEVES;RELEVES;U12;12;M;FIGURES;3;3;0;3;1;3;100.0;-12 M (11) | -12 M (12);
2025;25FRA016;Championnat de France RELEVES 2025;RELEVES;RELEVES;U12;12;M;SAUT;3;3;0;3;1;3;100.0;-12 M (11) | -12 M (12);
2025;25FRA016;Championnat de France RELEVES 2025;RELEVES;RELEVES;U12;12;M;SLALOM;3;3;0;3;1;3;100.0;-12 M (11) | -12 M (12);
2025;25FRA016;Championnat de France RELEVES 2025;RELEVES;RELEVES;U14;14;F;COMBINE;1;1;0;1;1;1;100.0;-14 F (14);
2025;25FRA016;Championnat de France RELEVES 2025;RELEVES;RELEVES;U14;14;F;FIGURES;1;1;0;1;1;1;100.0;-14 F (14);
2025;25FRA016;Championnat de France RELEVES 2025;RELEVES;RELEVES;U14;14;F;SAUT;1;1;0;1;1;1;100.0;-14 F (14);
2025;25FRA016;Championnat de France RELEVES 2025;RELEVES;RELEVES;U14;14;F;SLALOM;2;2;0;2;1;2;100.0;-14 F (14);
2025;25FRA016;Championnat de France RELEVES 2025;RELEVES;RELEVES;U14;14;M;COMBINE;2;2;0;2;1;2;100.0;-14 M (14);
2025;25FRA016;Championnat de France RELEVES 2025;RELEVES;RELEVES;U14;14;M;FIGURES;2;2;0;2;1;2;100.0;-14 M (14);
2025;25FRA016;Championnat de France RELEVES 2025;RELEVES;RELEVES;U14;14;M;SAUT;2;2;0;2;1;2;100.0;-14 M (14);
2025;25FRA016;Championnat de France RELEVES 2025;RELEVES;RELEVES;U14;14;M;SLALOM;3;3;0;3;1;3;100.0;-14 M (12) | -14 M (14);
2025;25FRA016;Championnat de France RELEVES 2025;RELEVES;JUNIOR;U17;17;F;COMBINE;1;1;0;1;1;1;100.0;-17 F (15);
