Year;CompetitionCode;CompetitionName;ChampionshipBlock;TitleEligible;PopulationGroup;Category;Sex;Event;ClassifiedAll;ClassifiedFrench;ClassifiedForeign
2024;24FRA034;Championnat de France SENIOR;SENIOR;1;SENIOR;45+;F;SAUT;2;2;0
2024;24FRA034;Championnat de France SENIOR;SENIOR;1;SENIOR;45+;F;SLALOM;3;3;0
2024;24FRA034;Championnat de France SENIOR;SENIOR;1;SENIOR;45+;M;COMBINE;4;4;0
2024;24FRA034;Championnat de France SENIOR;SENIOR;1;SENIOR;45+;M;FIGURES;4;4;0
2024;24FRA034;Championnat de France SENIOR;SENIOR;1;SENIOR;45+;M;SAUT;5;5;0
2024;24FRA034;Championnat de France SENIOR;SENIOR;1;SENIOR;45+;M;SLALOM;10;10;0
2024;24FRA034;Championnat de France SENIOR;SENIOR;1;SENIOR;55+;F;SLALOM;3;3;0
2024;24FRA034;Championnat de France SENIOR;SENIOR;1;SENIOR;55+;M;COMBINE;2;2;0
2024;24FRA034;Championnat de France SENIOR;SENIOR;1;SENIOR;55+;M;FIGURES;3;3;0
2024;24FRA034;Championnat de France SENIOR;SENIOR;1;SENIOR;55+;M;SAUT;2;2;0
2024;24FRA034;Championnat de France SENIOR;SENIOR;1;SENIOR;55+;M;SLALOM;6;6;0
2024;24FRA034;Championnat de France SENIOR;SENIOR;1;SENIOR;65+;M;FIGURES;1;1;0
2024;24FRA034;Championnat de France SENIOR;SENIOR;1;SENIOR;65+;M;SLALOM;2;2;0
2024;24FRA034;Championnat de France SENIOR;SENIOR;1;SENIOR;70+;M;FIGURES;1;1;0
2024;24FRA034;Championnat de France SENIOR;SENIOR;1;SENIOR;70+;M;SLALOM;2;2;0
2024;24FRA034;Championnat de France SENIOR;SENIOR;1;SENIOR;75+;M;FIGURES;1;1;0
2024;24FRA034;Championnat de France SENIOR;SENIOR;1;SENIOR;75+;M;SLALOM;2;2;0
2024;24FRA027;Championnat de France U21 + OPEN;U21_OPEN;1;OPEN;OPEN;F;COMBINE;3;3;0
2024;24FRA027;Championnat de France U21 + OPEN;U21_OPEN;1;OPEN;OPEN;F;FIGURES;5;4;1
2024;24FRA027;Championnat de France U21 + OPEN;U21_OPEN;1;OPEN;OPEN;F;SAUT;3;3;0
2024;24FRA027;Championnat de France U21 + OPEN;U21_OPEN;1;OPEN;OPEN;F;SLALOM;8;7;1
2024;24FRA027;Championnat de France U21 + OPEN;U21_OPEN;1;OPEN;OPEN;M;COMBINE;2;2;0
2024;24FRA027;Championnat de France U21 + OPEN;U21_OPEN;1;OPEN;OPEN;M;FIGURES;3;3;0
2024;24FRA027;Championnat de France U21 + OPEN;U21_OPEN;1;OPEN;OPEN;M;SAUT;3;3;0
2024;24FRA027;Championnat de France U21 + OPEN;U21_OPEN;1;OPEN;OPEN;M;SLALOM;4;4;0
2024;24FRA027;Championnat de France U21 + OPEN;U21_OPEN;1;U21;U21;F;COMBINE;2;2;0
2024;24FRA027;Championnat de France U21 + OPEN;U21_OPEN;1;U21;U21;F;FIGURES;3;3;0
2024;24FRA027;Championnat de France U21 + OPEN;U21_OPEN;1;U21;U21;F;SAUT;2;2;0
2024;24FRA027;Championnat de France U21 + OPEN;U21_OPEN;1;U21;U21;F;SLALOM;2;2;0
2024;24FRA027;Championnat de France U21 + OPEN;U21_OPEN;1;U21;U21;M;COMBINE;1;1;0
2024;24FRA027;Championnat de France U21 + OPEN;U21_OPEN;1;U21;U21;M;FIGURES;1;1;0
2024;24FRA027;Championnat de France U21 + OPEN;U21_OPEN;1;U21;U21;M;SAUT;2;2;0
2024;24FRA027;Championnat de France U21 + OPEN;U21_OPEN;1;U21;U21;M;SLALOM;2;2;0
2025;25FRA016;Championnat de France RELEVES 2025;RELEVES;1;RELEVES;U10;F;SLALOM;1;1;0
2025;25FRA016;Championnat de France RELEVES 2025;RELEVES;1;RELEVES;U10;M;SLALOM;1;1;0
2025;25FRA016;Championnat de France RELEVES 2025;RELEVES;1;RELEVES;U12;F;COMBINE;1;1;0
2025;25FRA016;Championnat de France RELEVES 2025;RELEVES;1;RELEVES;U12;F;FIGURES;3;3;0
2025;25FRA016;Championnat de France RELEVES 2025;RELEVES;1;RELEVES;U12;F;SAUT;1;1;0
2025;25FRA016;Championnat de France RELEVES 2025;RELEVES;1;RELEVES;U12;F;SLALOM;3;3;0
2025;25FRA016;Championnat de France RELEVES 2025;RELEVES;1;RELEVES;U12;M;COMBINE;3;3;0
2025;25FRA016;Championnat de France RELEVES 2025;RELEVES;1;RELEVES;U12;M;FIGURES;3;3;0
2025;25FRA016;Championnat de France RELEVES 2025;RELEVES;1;RELEVES;U12;M;SAUT;3;3;0
2025;25FRA016;Championnat de France RELEVES 2025;RELEVES;1;RELEVES;U12;M;SLALOM;3;3;0
2025;25FRA016;Championnat de France RELEVES 2025;RELEVES;1;RELEVES;U14;F;COMBINE;1;1;0
2025;25FRA016;Championnat de France RELEVES 2025;RELEVES;1;RELEVES;U14;F;FIGURES;1;1;0
2025;25FRA016;Championnat de France RELEVES 2025;RELEVES;1;RELEVES;U14;F;SAUT;1;1;0
2025;25FRA016;Championnat de France RELEVES 2025;RELEVES;1;RELEVES;U14;F;SLALOM;2;2;0
2025;25FRA016;Championnat de France RELEVES 2025;RELEVES;1;RELEVES;U14;M;COMBINE;2;2;0
2025;25FRA016;Championnat de France RELEVES 2025;RELEVES;1;RELEVES;U14;M;FIGURES;2;2;0
2025;25FRA016;Championnat de France RELEVES 2025;RELEVES;1;RELEVES;U14;M;SAUT;2;2;0
2025;25FRA016;Championnat de France RELEVES 2025;RELEVES;1;RELEVES;U14;M;SLALOM;3;3;0
2025;25FRA016;Championnat de France RELEVES 2025;RELEVES;1;JUNIOR;U17;F;COMBINE;1;1;0
2025;25FRA016;Championnat de France RELEVES 2025;RELEVES;1;JUNIOR;U17;F;FIGURES;2;2;0
2025;25FRA016;Championnat de France RELEVES 2025;RELEVES;1;JUNIOR;U17;F;SAUT;2;2;0
2025;25FRA016;Championnat de France RELEVES 2025;RELEVES;1;JUNIOR;U17;F;SLALOM;3;3;0
